"","Neolitsea dealbata","Ficus destruens","Linociera ramiflora","Litsea leefeana","Tieghemopanax elegans","Tieghemopanax murrayi","Archontophoenix alexandrae","Canarium australianum","Cissus hypoglauca","Cryptocarya hypospodia","Cryptocarya mackinnoniana","Cryptocarya sp1 M_SD_007","Dysoxylum micranthum","Elaeocarpus grahamii","Elaeocarpus largiflorens","Endiandra hypotephra","Endiandra muelleri","Ficus virens","Kissodendron australianum","Litsea bindoniana","Myristica muelleri","Notothixos subarueus","Pothos loureirii","Aceratium megalospermun","Antirhea tenuiflora","Cinnamomun laubatii","Cissus sterculifolius","Citronella emythii","Dysoxylum oppositifolium","Elaeocarpus grandis","Eugenia johnsonii","Eugenia sp1 M_SD_007","Ficus leptoclada","Flagellaria sp1 M_SD_007","Glochidion ferdinandii","Gomphandra australiana","Hakea laurina","Piper sp1 M_SD_007","Symplocos etawellii","Terminalia sericocarpa","Tetrasynandra laxiflora","Alphitonia whitei","Breynia stipitata","Calamus sp1 M_SD_007","Cananga odorata","Canthium coprosmoides","Clerodendrum traceyanum","Dendrophthoe falcata","Dysoxylum sp1 M_SD_007","Elaeocarpus arnhemicus","Embelia sp1 M_SD_007","Euodia xanthoxyloides","Freycinetia excelsa","Ganophyllum faloatum","Gmelina fasciculiflora","Helicia nortoniana","Hibbertia scandens","Homalanthus populifolius","Hypaerpa decumbens","Lantana camara","Litsea glutinosa","Melia asederach","Morinda jasminioides","Pilidiostigma tropicum","Planchonella obovata","Planchonella obovoidea","Planchonella xerocarpa","Rauwenhoffia leichardtii","Solanum torvum","Solanum viride","Strychnos colubrina","Symplocos paucistamineus"
"Ptilinopus magnificus",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0
"Ptilinopus superbus",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
"Macropygia amboinensis",1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
"Ptilinopus regina",1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ducula spilorrhoa",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Columba leucomela",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lopholaimus antarcticus",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
